0,5.1,3.5,1.4,0.2,Iris-setosa,2
1,4.9,3.0,1.4,0.2,Iris-setosa,2
2,4.7,3.2,1.3,0.2,Iris-setosa,2
3,4.6,3.1,1.5,0.2,Iris-setosa,2
4,5.0,3.6,1.4,0.2,Iris-setosa,2
5,5.4,3.9,1.7,0.4,Iris-setosa,2
6,4.6,3.4,1.4,0.3,Iris-setosa,2
7,5.0,3.4,1.5,0.2,Iris-setosa,2
8,4.4,2.9,1.4,0.2,Iris-setosa,2
9,4.9,3.1,1.5,0.1,Iris-setosa,2
10,5.4,3.7,1.5,0.2,Iris-setosa,2
11,4.8,3.4,1.6,0.2,Iris-setosa,2
12,4.8,3.0,1.4,0.1,Iris-setosa,2
13,4.3,3.0,1.1,0.1,Iris-setosa,2
14,5.8,4.0,1.2,0.2,Iris-setosa,2
15,5.7,4.4,1.5,0.4,Iris-setosa,2
16,5.4,3.9,1.3,0.4,Iris-setosa,2
17,5.1,3.5,1.4,0.3,Iris-setosa,2
18,5.7,3.8,1.7,0.3,Iris-setosa,2
19,5.1,3.8,1.5,0.3,Iris-setosa,2
20,5.4,3.4,1.7,0.2,Iris-setosa,2
21,5.1,3.7,1.5,0.4,Iris-setosa,2
22,4.6,3.6,1.0,0.2,Iris-setosa,2
23,5.1,3.3,1.7,0.5,Iris-setosa,2
24,4.8,3.4,1.9,0.2,Iris-setosa,2
25,5.0,3.0,1.6,0.2,Iris-setosa,2
26,5.0,3.4,1.6,0.4,Iris-setosa,2
27,5.2,3.5,1.5,0.2,Iris-setosa,2
28,5.2,3.4,1.4,0.2,Iris-setosa,2
29,4.7,3.2,1.6,0.2,Iris-setosa,2
30,4.8,3.1,1.6,0.2,Iris-setosa,2
31,5.4,3.4,1.5,0.4,Iris-setosa,2
32,5.2,4.1,1.5,0.1,Iris-setosa,2
33,5.5,4.2,1.4,0.2,Iris-setosa,2
34,4.9,3.1,1.5,0.1,Iris-setosa,2
35,5.0,3.2,1.2,0.2,Iris-setosa,2
36,5.5,3.5,1.3,0.2,Iris-setosa,2
37,4.9,3.1,1.5,0.1,Iris-setosa,2
38,4.4,3.0,1.3,0.2,Iris-setosa,2
39,5.1,3.4,1.5,0.2,Iris-setosa,2
40,5.0,3.5,1.3,0.3,Iris-setosa,2
41,4.5,2.3,1.3,0.3,Iris-setosa,2
42,4.4,3.2,1.3,0.2,Iris-setosa,2
43,5.0,3.5,1.6,0.6,Iris-setosa,2
44,5.1,3.8,1.9,0.4,Iris-setosa,2
45,4.8,3.0,1.4,0.3,Iris-setosa,2
46,5.1,3.8,1.6,0.2,Iris-setosa,2
47,4.6,3.2,1.4,0.2,Iris-setosa,2
48,5.3,3.7,1.5,0.2,Iris-setosa,2
49,5.0,3.3,1.4,0.2,Iris-setosa,2
50,7.0,3.2,4.7,1.4,Iris-versicolor,3
51,6.4,3.2,4.5,1.5,Iris-versicolor,3
52,6.9,3.1,4.9,1.5,Iris-versicolor,3
53,5.5,2.3,4.0,1.3,Iris-versicolor,3
54,6.5,2.8,4.6,1.5,Iris-versicolor,3
55,5.7,2.8,4.5,1.3,Iris-versicolor,3
56,6.3,3.3,4.7,1.6,Iris-versicolor,3
57,4.9,2.4,3.3,1.0,Iris-versicolor,3
58,6.6,2.9,4.6,1.3,Iris-versicolor,3
59,5.2,2.7,3.9,1.4,Iris-versicolor,3
60,5.0,2.0,3.5,1.0,Iris-versicolor,3
61,5.9,3.0,4.2,1.5,Iris-versicolor,3
62,6.0,2.2,4.0,1.0,Iris-versicolor,3
63,6.1,2.9,4.7,1.4,Iris-versicolor,3
64,5.6,2.9,3.6,1.3,Iris-versicolor,3
65,6.7,3.1,4.4,1.4,Iris-versicolor,3
66,5.6,3.0,4.5,1.5,Iris-versicolor,3
67,5.8,2.7,4.1,1.0,Iris-versicolor,3
68,6.2,2.2,4.5,1.5,Iris-versicolor,3
69,5.6,2.5,3.9,1.1,Iris-versicolor,3
70,5.9,3.2,4.8,1.8,Iris-versicolor,3
71,6.1,2.8,4.0,1.3,Iris-versicolor,3
72,6.3,2.5,4.9,1.5,Iris-versicolor,3
73,6.1,2.8,4.7,1.2,Iris-versicolor,3
74,6.4,2.9,4.3,1.3,Iris-versicolor,3
75,6.6,3.0,4.4,1.4,Iris-versicolor,3
76,6.8,2.8,4.8,1.4,Iris-versicolor,3
77,6.7,3.0,5.0,1.7,Iris-versicolor,3
78,6.0,2.9,4.5,1.5,Iris-versicolor,3
